Tiempo (s),Voltaje (V)
-2.631696149999999945e-06,-2.770371599999999976e-03
-2.631596149999999726e-06,-5.731907999999999535e-04
-2.631496149999999930e-06,-3.169738399999999772e-03
-2.631396149999999710e-06,3.512026400000000260e-03
-2.631296149999999915e-06,1.458159999999998927e-05
-2.631196149999999695e-06,-5.601762799999999987e-03
-2.631096149999999900e-06,-7.151583999999999459e-04
-2.630996149999999680e-06,2.932095999999999379e-04
-2.630896149999999885e-06,-1.890703199999999940e-03
-2.630796149999999665e-06,1.846892399999999854e-03
-2.630696149999999870e-06,1.012335199999999909e-03
-2.630596149999999650e-06,-2.459900399999999810e-03
-2.630496149999999855e-06,-3.197720000000000141e-04
-2.630396150000000059e-06,3.980268000000000022e-04
-2.630296149999999840e-06,-9.592896000000000929e-04
-2.630196150000000044e-06,-2.864574399999999643e-03
-2.630096149999999825e-06,-9.327535999999999120e-04
-2.629996150000000029e-06,2.585919999999999799e-03
-2.629896149999999810e-06,-2.722606799999999650e-03
-2.629796150000000014e-06,-1.365290400000000043e-03
-2.629696149999999795e-06,1.146342000000000064e-03
-2.629596149999999999e-06,-1.938467999999999832e-03
-2.629496149999999780e-06,-1.294969999999999889e-03
-2.629396149999999984e-06,-1.030936799999999931e-03
-2.629296149999999764e-06,3.407209200000000087e-03
-2.629196149999999969e-06,-8.770279999999999656e-04
-2.629096149999999749e-06,-1.791193199999999803e-03
-2.628996149999999954e-06,-1.634630799999999820e-03
-2.628896149999999734e-06,-5.121579999999999709e-04
-2.628796149999999939e-06,-5.678836000000000257e-04
-2.628696149999999719e-06,-2.478475599999999720e-03
-2.628596149999999924e-06,1.101111999999999902e-04
-2.628496149999999704e-06,-2.124220000000000014e-03
-2.628396149999999909e-06,-2.092376799999999797e-03
-2.628296149999999689e-06,7.350340000000000779e-04
-2.628196149999999894e-06,7.682039999999999789e-04
-2.628096149999999674e-06,-3.172392000000000007e-03
-2.627996149999999879e-06,-1.058799600000000013e-03
-2.627896149999999659e-06,-3.476229200000000019e-03
-2.627796149999999864e-06,7.894327999999999068e-04
-2.627696150000000068e-06,2.991920799999999749e-03
-2.627596149999999849e-06,1.470081199999999887e-03
-2.627496150000000053e-06,-5.970732000000000079e-04
-2.627396149999999833e-06,-1.260473199999999870e-03
-2.627296150000000038e-06,8.186223999999998890e-04
-2.627196149999999818e-06,-3.525320800000000029e-03
-2.627096150000000023e-06,8.425048000000000519e-04
-2.626996149999999803e-06,2.248912799999999886e-03
-2.626896150000000008e-06,-4.512440000000003844e-05
-2.626796149999999788e-06,1.631950799999999906e-03
-2.626696149999999993e-06,5.758179999999998595e-04
-2.626596149999999773e-06,1.049485599999999946e-03
-2.626496149999999978e-06,-4.424891200000000309e-03
-2.626396149999999758e-06,-1.613401999999999892e-03
-2.626296149999999963e-06,1.505904800000000023e-03
-2.626196149999999743e-06,-1.052165600000000076e-03
-2.626096149999999948e-06,2.109598800000000128e-03
-2.625996149999999728e-06,-1.763330399999999938e-03
-2.625896149999999933e-06,-5.240991999999999439e-04
-2.625796149999999713e-06,2.247585999999999768e-03
-2.625696149999999918e-06,-4.860081599999999807e-03
-2.625596149999999698e-06,-7.564080000000002971e-05
-2.625496149999999903e-06,3.436279999999999565e-04
-2.625396149999999683e-06,-2.002154400000000049e-03
-2.625296149999999887e-06,-9.554280000000000281e-05
-2.625196149999999668e-06,-1.704951199999999974e-03
-2.625096149999999872e-06,1.359956799999999895e-03
-2.624996150000000077e-06,-2.450612799999999855e-03
-2.624896149999999857e-06,-8.637599999999999835e-04
-2.624796150000000062e-06,3.575712799999999827e-03
-2.624696149999999842e-06,-2.607175199999999839e-03
-2.624596150000000047e-06,-9.300800000000010968e-06
-2.624496149999999827e-06,-7.350603999999999732e-04
-2.624396150000000032e-06,5.969279999999997166e-05
-2.624296149999999812e-06,3.113986399999999714e-03
-2.624196150000000017e-06,-2.016749200000000040e-03
-2.624096149999999797e-06,-5.240873200000000127e-03
-2.623996150000000002e-06,5.373407999999999223e-04
-2.623896149999999782e-06,-7.496551999999999643e-04
-2.623796149999999987e-06,-3.516152000000000145e-04
-2.623696149999999767e-06,2.560592000000000098e-04
-2.623596149999999972e-06,1.946402399999999991e-03
-2.623496149999999752e-06,2.595207599999999754e-03
-2.623396149999999956e-06,-3.078307999999999869e-04
-2.623296149999999737e-06,5.360140000000000217e-04
-2.623196149999999941e-06,7.801451999999999519e-04
-2.623096149999999722e-06,-9.367340000000000475e-04
-2.622996149999999926e-06,-9.023560000000002083e-05
-2.622896149999999707e-06,5.147851999999998769e-04
-2.622796149999999911e-06,-1.191479600000000050e-03
-2.622696149999999692e-06,2.528867599999999952e-03
-2.622596149999999896e-06,-3.715171999999999876e-04
-2.622496149999999677e-06,2.020703200000000064e-03
-2.622396149999999881e-06,3.116639999999999949e-03
-2.622296149999999662e-06,-7.562892000000000095e-04
-2.622196149999999866e-06,4.440786399999999655e-03
-2.622096150000000071e-06,2.041931999999999775e-03
-2.621996149999999851e-06,-2.149548000000000311e-04
-2.621896150000000056e-06,-1.028283199999999913e-03
-2.621796149999999836e-06,3.980268000000000022e-04
-2.621696150000000041e-06,-3.092783999999999898e-03
-2.621596149999999821e-06,6.766547999999998966e-04
-2.621496150000000026e-06,5.185121199999999202e-03
-2.621396149999999806e-06,-1.586865999999999928e-03
-2.621296150000000010e-06,6.620799999999989194e-06
-2.621196149999999791e-06,-2.079108799999999924e-03
-2.621096149999999995e-06,2.620416799999999817e-03
-2.620996149999999776e-06,1.769937999999999980e-03
-2.620896149999999980e-06,-3.473575599999999784e-03
-2.620796149999999761e-06,4.676956799999999748e-03
-2.620696149999999965e-06,8.092159999999995381e-05
-2.620596149999999746e-06,-7.788447999999999465e-04
-2.620496149999999950e-06,9.884527999999999631e-04
-2.620396149999999731e-06,2.454447999999999374e-04
-2.620296149999999935e-06,-7.536355999999999914e-04
-2.620196149999999716e-06,9.486487999999999084e-04
-2.620096149999999920e-06,-3.193620799999999718e-03
-2.619996149999999701e-06,2.749116399999999936e-03
-2.619896149999999905e-06,-8.611064000000000739e-04
-2.619796149999999686e-06,-4.255060800000000018e-03
-2.619696149999999890e-06,-3.145855999999999826e-03
-2.619596149999999671e-06,2.784959999999997134e-05
-2.619496149999999875e-06,5.453015999999999766e-04
-2.619396149999999656e-06,2.502331599999999771e-03
-2.619296149999999860e-06,-4.312232000000000153e-04
-2.619196150000000064e-06,1.087962799999999883e-03
-2.619096149999999845e-06,-6.912759999999999998e-04
-2.618996150000000049e-06,1.321479599999999957e-03
-2.618896149999999830e-06,-2.096476000000000220e-04
-2.618796150000000034e-06,-7.655768000000000729e-04
-2.618696149999999815e-06,1.028256800000000018e-03
-2.618596150000000019e-06,-2.229156000000000312e-04
-2.618496149999999800e-06,2.924253999999999829e-03
-2.618396150000000004e-06,-2.130854000000000168e-03
-2.618296149999999785e-06,7.987204000000000786e-04
-2.618196149999999989e-06,-5.108312000000000703e-04
-2.618096149999999770e-06,7.841256000000000875e-04
-2.617996149999999974e-06,8.504655999999998894e-04
-2.617896149999999755e-06,1.089289600000000000e-03
-2.617796149999999959e-06,6.103148000000000947e-04
-2.617696149999999740e-06,-1.986232799999999941e-03
-2.617596149999999944e-06,-1.369270799999999962e-03
-2.617496149999999725e-06,-1.647898799999999910e-03
-2.617396149999999929e-06,-1.500623999999999882e-03
-2.617296149999999710e-06,-1.500623999999999882e-03
-2.617196149999999914e-06,-2.026036799999999995e-03
-2.617096149999999695e-06,4.095818399999999471e-03
-2.616996149999999899e-06,-3.277328000000000142e-04
-2.616896149999999680e-06,-3.590333999999999713e-03
-2.616796149999999884e-06,-9.327535999999999120e-04
-2.616696149999999665e-06,-4.683735999999999976e-04
-2.616596149999999869e-06,2.260854000000000075e-03
-2.616496150000000073e-06,7.894327999999999068e-04
-2.616396149999999854e-06,-3.910092799999999834e-03
-2.616296150000000058e-06,-2.654920000000002018e-05
-2.616196149999999839e-06,9.380344000000000529e-04
-2.616096150000000043e-06,4.891898399999999696e-03
-2.615996149999999824e-06,2.554076800000000015e-03
-2.615896150000000028e-06,-3.622296000000000326e-04
-2.615796149999999809e-06,-2.498377599999999747e-03
-2.615696150000000013e-06,-2.421423199999999873e-03
-2.615596149999999794e-06,2.599188000000000106e-03
-2.615496149999999998e-06,8.239295999999999252e-04
